"datetime","player","message"
"30/09/2025 12:03:44","shivanand hebballi","Steps for Restoration:


Steps to be done, mentioned along with the *owning* team
1. Validate backups → Security
2. Wipe infected systems → Platforms
3. Rebuild from clean backup → Platforms
4. Re-enable security agent on the servers → Security
5. Reconnect traffic to services and monitor → Platforms
"
"30/09/2025 12:03:47","Maya","@shivanand hebballi could you please confirm with business before moving forward on this"
"30/09/2025 12:03:48","Maya","@shivanand hebballi could you please confirm with business before moving forward on this"
"30/09/2025 12:03:55","Maya","I've called in @Bob to the channel"
"30/09/2025 12:04:04","Bob","@shivanand hebballi, I hear you need my help, what exactly should I look into?"
"30/09/2025 12:04:03","Bob","@shivanand hebballi, I hear you need my help, what exactly should I look into?"
"30/09/2025 12:04:08","shivanand hebballi","please go ahead we have agreed already"
"30/09/2025 12:04:18","Bob","With the sale starting today, the potential loss is significant - around $180k"
"30/09/2025 12:04:19","Bob","With the sale starting today, the potential loss is significant - around $180k"
"30/09/2025 12:04:43","shivanand hebballi","<@U047N91SRH8> thanks I wil update to business team"
"30/09/2025 12:05:41","shivanand hebballi","<@U03BY6AJZMM> and <@U06CA3MRAJF> do you see any data loss  related to customers?"
"30/09/2025 12:05:51","Hamed","No data loss- bvut all orders 2 Am will b ee lost"
"30/09/2025 12:05:51","Hamed","No data loss- bvut all orders 2 Am will b ee lost"
"30/09/2025 12:06:22","shivanand hebballi","ok. we do not have any other way to process these orders?"
"30/09/2025 12:06:28","Maya","Yes, since we will restore to last back up"
"30/09/2025 12:06:33","Hamed","No"
"30/09/2025 12:06:40","Hamed","But insurance would cover it"
"30/09/2025 12:06:54","Maya","Shall we procced with restoration"
"30/09/2025 12:07:10","shivanand hebballi","yes please"
"30/09/2025 12:07:19","Maya","Thanks for the go-ahead. @shivanand hebballi, please track all restoration steps"
"30/09/2025 12:07:19","Maya","Thanks for the go-ahead. @shivanand hebballi, please track all restoration steps"
"30/09/2025 12:07:29","Maya","I'm now validating the backup storage to ensure it's safe"
"30/09/2025 12:07:28","Maya","I'm now validating the backup storage to ensure it's safe"
"30/09/2025 12:07:31","Hamed","I'm provisioning new checkout servers, will update once ready"
"30/09/2025 12:07:39","Maya","Backup is clean and safe. @Hamed, you can start rebuilding checkout from backup storage"
"30/09/2025 12:07:37","Maya","Backup is clean and safe. @Hamed, you can start rebuilding checkout from backup storage"
"30/09/2025 12:07:42","Hamed","Thanks, Maya. New servers are ready. I'll start rebuilding now using backup storage"
"30/09/2025 12:07:41","Hamed","Thanks, Maya. New servers are ready. I'll start rebuilding now using backup storage"
"30/09/2025 12:07:48","Hamed","Rebuild completed"
"30/09/2025 12:07:52","Maya","I've enabled the security agents (EDR) on checkout servers"
"30/09/2025 12:07:55","Daniel","I'll monitor application health once services are restored"
"30/09/2025 12:07:59","Maya"," @shivanand hebballi , can you confirm all tasks are wrapped up and we are good to bring the traffic back? Just want to be sure, as this is the final restoration step before we move"
"30/09/2025 12:07:58","Maya"," @shivanand hebballi , can you confirm all tasks are wrapped up and we are good to bring the traffic back? Just want to be sure, as this is the final restoration step before we move"
"30/09/2025 12:08:23","shivanand hebballi","<@U047N6LHU0K> do we need to connect back the DB?"
"30/09/2025 12:08:52","shivanand hebballi","<@U06CA3MRAJF> 2mins"
"30/09/2025 12:08:53","Daniel","Yes"
"30/09/2025 12:08:59","shivanand hebballi","thanks"
"30/09/2025 12:09:22","Maya","Tanya can reconnect"
"30/09/2025 12:09:29","shivanand hebballi","<@U03BY6AJZMM> are you happy now to proced next step to bring the traffic back?"
"30/09/2025 12:09:35","Hamed","Yes"
"30/09/2025 12:09:40","Hamed","lets go ahead"
"30/09/2025 12:09:44","shivanand hebballi","<@U06CA3MRAJF> <@U047N6LUYJX> please go ahead"
"30/09/2025 12:09:47","Tanya","Thanks for the go ahead. Bringing up network traffic in progress..."
"30/09/2025 12:09:46","Tanya","Thanks for the go ahead. Bringing up network traffic in progress..."
"30/09/2025 12:10:05","Tanya","Restoration completed"
"30/09/2025 12:10:31","Bob","Wait!! getting a bunch of new complaints now. Users are neither able to see their return requests nor able to place new returns on the site"
"30/09/2025 12:10:32","Bob","Wait!! getting a bunch of new complaints now. Users are neither able to see their return requests nor able to place new returns on the site"
"30/09/2025 12:11:35","U00",""
"30/09/2025 12:10:38","Maya","Yeah, that's probably the missing today's checkout data. Anyone who ordered or returned something during that time won't see it - makes sense since we restored from the yesterday's backup"
"30/09/2025 12:10:37","Maya","Yeah, that's probably the missing today's checkout data. Anyone who ordered or returned something during that time won't see it - makes sense since we restored from the yesterday's backup"
"30/09/2025 12:10:40","Tanya","Tough, but expected :)"
"30/09/2025 12:10:40","Bob","What should I tell them? They are asking for refunds"
"30/09/2025 12:10:41","Bob","What should I tell them? They are asking for refunds"
"30/09/2025 12:11:11","shivanand hebballi","we might need to refund them."
"30/09/2025 12:11:20","shivanand hebballi","let me confim on this <@U047N91SRH8>"
"30/09/2025 12:12:16","shivanand hebballi","<@U047N91SRH8> whats the process on your side in case of any orders are having issues?
are we refunding or proving any credit points?"
"30/09/2025 12:12:18","Bob","Business should give go ahead- we can process refunds once we have go ahead from Bez"
"30/09/2025 12:12:19","Bob","Business should give go ahead- we can process refunds once we have go ahead from Bez"
"30/09/2025 12:13:29","Maya","@shivanand hebballi I've received the forensics report from Cyvantics Security"
"30/09/2025 12:13:30","Maya","@shivanand hebballi I've received the forensics report from Cyvantics Security"
"30/09/2025 12:13:32","Maya","forensics"
"30/09/2025 12:13:49","Maya","Also, I just finished combing through Shay's mailbox. There's something important here, I found two emails from what looks like our monitoring vendor - ClearTech"
"30/09/2025 12:13:50","Maya","Also, I just finished combing through Shay's mailbox. There's something important here, I found two emails from what looks like our monitoring vendor - ClearTech"
"30/09/2025 12:13:51","Maya","phished_email"
"30/09/2025 12:14:09","Maya","We will take this forward in PIR , for now website is restored"
"30/09/2025 12:14:09","Maya","We will take this forward in PIR , for now website is restored"
"30/09/2025 12:14:20","Maya","Alright, since everything's back up and stable, we can now move back to the main #online-boutique channel. No further actions left here"
"30/09/2025 12:14:19","Maya","Alright, since everything's back up and stable, we can now move back to the main #online-boutique channel. No further actions left here"
"30/09/2025 12:15:02","shivanand hebballi","<@U047N91SRH8> please do initate the refund and provding the £10 vochers to customer as aapology
we got this  confirmation from Bez"
"30/09/2025 12:15:03","Bob","Noted- Will do"
"30/09/2025 12:15:42","shivanand hebballi","thanks al I can see orders are getting placed"
"30/09/2025 12:16:06","Bob","Lets move back to online boutique channel"
"30/09/2025 12:16:09","shivanand hebballi","<@U047N91SRH8> can you please see on your side to confirm if you are seeing orders are placing"
