"datetime","player","message"
"01/10/2025 13:33:17","Tim Redding","Please start the Steps for Restoration:


Steps to be done, mentioned along with the *owning* team
1. Validate backups → Security
2. Wipe infected systems → Platforms
3. Rebuild from clean backup → Platforms
4. Re-enable security agent on the servers → Security
5. Reconnect traffic to services and monitor → Platforms
 Let me know once yo complete each step"
"01/10/2025 13:33:17","Hamed","Correct, we do have backup which only runs at 2AM. Latest is yesterday's. We'll lose today's orders"
"01/10/2025 13:33:20","Maya","Isolation is complete. We're good to move toward restoration using the backup storage now"
"01/10/2025 13:33:23","Maya","@Tim Redding could you please confirm with business before moving forward on this"
"01/10/2025 13:33:33","Maya","I've called in @Bob to the channel"
"01/10/2025 13:33:41","Bob","@Tim Redding, I hear you need my help, what exactly should I look into?"
"01/10/2025 13:33:56","Bob","With the sale starting today, the potential loss is significant - around $180k"
"01/10/2025 13:36:04","Maya","Have we got the go-ahead from business?"
"01/10/2025 13:36:10","Tim Redding","<@U06CA3MRAJF> Can you see how we were compromised?"
"01/10/2025 13:36:32","Maya","Cyvantics is doing forensics at the moment"
"01/10/2025 13:36:38","Tim Redding","Lets continue recovery."
"01/10/2025 13:36:48","Maya","But what I've heard till now is that only checkout is impacted"
"01/10/2025 13:36:51","Maya","Thanks for the go-ahead. @Tim Redding, please track all restoration steps"
"01/10/2025 13:37:00","Maya","I'm now validating the backup storage to ensure it's safe"
"01/10/2025 13:37:03","Hamed","I'm provisioning new checkout servers, will update once ready"
"01/10/2025 13:37:09","Maya","Backup is clean and safe. @Hamed, you can start rebuilding checkout from backup storage"
"01/10/2025 13:37:13","Hamed","Thanks, Maya. New servers are ready. I'll start rebuilding now using backup storage"
"01/10/2025 13:37:20","Hamed","Rebuild completed"
"01/10/2025 13:37:24","Maya","I've enabled the security agents (EDR) on checkout servers"
"01/10/2025 13:37:27","Daniel","I'll monitor application health once services are restored"
"01/10/2025 13:37:30","Maya"," @Tim Redding , can you confirm all tasks are wrapped up and we are good to bring the traffic back? Just want to be sure, as this is the final restoration step before we move"
"01/10/2025 13:38:30","Maya","I think we are good before we connect the network"
"01/10/2025 13:38:47","Tim Redding","<@U03BY6AJZMM> <@U047N6LHU0K> Are the servers ready to serve production tarffic again?"
"01/10/2025 13:38:51","Hamed","Yes we are set to reconnect"
"01/10/2025 13:38:56","Tanya","Thanks for the go ahead. Bringing up network traffic in progress..."
"01/10/2025 13:39:02","Tim Redding","<@U06CA3MRAJF> Lets go ahead"
"01/10/2025 13:39:15","Tanya","Restoration completed"
"01/10/2025 13:39:21","Tim Redding","I can confirm i'm seeing traffic."
"01/10/2025 13:39:40","Bob","Wait!! getting a bunch of new complaints now. Users are neither able to see their return requests nor able to place new returns on the site"
"01/10/2025 13:39:41","Tim Redding","I can confirm I can checkout.,"
"01/10/2025 13:39:47","Maya","Yeah, that's probably the missing today's checkout data. Anyone who ordered or returned something during that time won't see it - makes sense since we restored from the yesterday's backup"
"01/10/2025 13:39:49","Tanya","Tough, but expected :)"
"01/10/2025 13:39:50","Bob","What should I tell them? They are asking for refunds"
"01/10/2025 13:40:12","Tim Redding","<@U047N91SRH8> Can you collate the customers who might have lost their orders."
"01/10/2025 13:40:18","Bob","They are continuously asking for refunds. What shall I do? Can we check this with Bez once"
"01/10/2025 13:41:30","Maya","@Tim Redding I've received the forensics report from Cyvantics Security"
"01/10/2025 13:41:34","Maya","forensics"
"01/10/2025 13:41:38","Tim Redding","<@U047N91SRH8> Please refund them, and customers will get a $10 gift voucher as an apology."
"01/10/2025 13:41:43","Bob","Thanks @Tim Redding"
"01/10/2025 13:41:50","Maya","Also, I just finished combing through Shay's mailbox. There's something important here, I found two emails from what looks like our monitoring vendor - ClearTech"
"01/10/2025 13:41:53","Maya","phished_email"
"01/10/2025 13:42:11","Maya","We will take this forward in PIR , for now website is restored"
"01/10/2025 13:42:21","Maya","Alright, since everything's back up and stable, we can now move back to the main #online-boutique channel. No further actions left here"
