session_start,player,id,name,session_id,GUOT,what_to_take_into_next_incident,what_was_surprising,session_id,minutes,duration
23/02/2026 13:02,pradeep.c,7796,Version confusion,7796,10,We should gather the all the information and compare with todays metrics,"I was unable to decide whether to create a ticket for 0.09% of impact, later I realized to ask the current impact",7796,,
26/02/2026 14:05,praveen.sadul,7826,The Switch,7826,9,we should check any back available for network issues and need connect particulate person quickly to mitigate issue,Its not related to any change.,7826,,
27/02/2026 10:07,chris.watts,7839,Radio Silence,7839,9,"That you need to force people to join in and resolve issues, they wont always be willing or be busy doing other things",The lack of interest of my colleagues and everyone being 'busy' meant I had to push everyone to get involved.,7839,19,19m 50s
04/03/2026 11:12,vallabh.vyas,7881,Version confusion,7881,9,we must investigate all the issue whether small or big. it might impact business.,Incident started 2 weeks back and it was reported as bug.,7881,16,16m 02s
12/03/2026 11:03,pradeep.c,7975,Cart-astrophe,7975,10,I should look for the backup person if someone is not around.,"When Tanya was not around and she is the one who pushed the changes, I was little surprised whom to ask.",7975,,
16/03/2026 12:05,vaishnavi.b,8028,Cart-astrophe,8028,10,taking decisions when no one around to guide,How to handle situation when senior people are not around,8028,,
19/03/2026 10:06,latif.khan,8083,The Chain Workshop,8083,9,learned to ensure all parties are involved and always refer to Change register,seems there we two issues reported,8083,22,22m 18s
20/03/2026 10:09,chris.watts,8099,Roblox Workshop,8099,8,"Was keen to lean on people in their roles to give me the info and ask for advice, rather than go looking for myself and take longer - ask the experts!","I like that it ended up being two issues, the first solution identified a second so had to be attacked on two fronts.",8099,19,19m 14s
23/03/2026 13:05,pradeep.c,8117,Details Matter,8117,10,Involve all the members or people who are responsible for the change irrespective of the time it is deployed.,"It was Hamed's changes that caused issue, but I initially suspected that Maya's deployment.",8117,28,28m 51s
25/03/2026 14:12,swetha.nayudu,8180,Tech Beatles Day!,8180,10,That dev's can be  bit stubborn on rollbacks and they push back .. we need to be firm on this,Bob Talking to me :),8180,10,10m 52s
01/04/2026 10:10,vallabh.vyas,8282,Details Matter,8282,9,check all the website flow,only few currency has problem. while overall website was performing well and customer were able to place order,8282,25,25m 55s
09/04/2026 13:04,praveen.sadul,8369,Version confusion,8369,9,i have to quickly find the related change and revert it back as its front end issue,"its affected limited users but its impact the business. looks like version mismatch , older version users are not facing an issue",8369,,
22/04/2026 13:04,swetha.nayudu,8541,Once Upon A Time In Production,8541,10,The failover activity we do at dominos are usually at the quiet hours .. may be plan to do in busy time ( high risk) to see how systems cope in high traffic or simulate high traffic situation,That back up system PCS wasnt tested to  the capacity that it can handle the live traffic.. which is key for the systems,8541,29,29m 34s
23/04/2026 13:06,praveen.sadul,8564,Cart-astrophe,8564,9,"we need to understand the team availability, and need to know backup person.",its looks like network issue but network responsible person is not available.,8564,,
24/04/2026 09:11,chris.watts,8566,The Chain Workshop,8566,9,Lots of collaboration and leaning on the team as I dont have the answers most of the time and just juggle the balls!,It just felt really hard to co-ordinate the team. Maybe I was rusty but lots of things going on and changes related to other things or previous changes. I was at first very lost with where to go with the issue and the team eventually helped me identify it when I wasnt sure.,8566,22,22m 26s
27/04/2026 11:03,vaishnavi.b,8593,Details Matter,8593,10,What we saw is not right all the time. We need detailed investigation before take actions,Some times we feel like this will fix the issue but the actual issue will comes up later,8593,,
06/05/2026 12:58,swetha.nayudu,8734,Cart-astrophe,8734,10,I think I rushed for rollback for the 1st change rather getting all the details ad rolling back interdependent changes first ..,Multiple changes related to each other,8734,14,14m 27s
08/05/2026 09:10,chris.watts,8783,The Switch,8783,9,"Good communication, using the team sufficiently instead of digging through logs and changes myself.","I like that the issue was actually hardware related, the issues on each drill seem to shift and never know what is going to happen next!",8783,20,20m 17s
13/05/2026 10:06,vallabh.vyas,8880,Discount Disaster Workshop,8880,10,learned about compliance and revenue loss importance,Dev mentioned some test script might have impacted which was not the case.,8880,20,20m 42s
15/05/2026 12:09,pradeep.c,8940,Discount Disaster,8940,10,Need to analyze more and look for concrete information,"All the things we had was normal, we could not identify the cause.",8940,,
20/05/2026 13:09,swetha.nayudu,9058,Snipe Hunt,9058,9,mn,Certificate chages,9058,,
27/05/2026 10:04,vallabh.vyas,9150,Snipe Hunt,9150,10,check each metrics in more details. communicate to customer and vendors about the impact,Security team not giving quick reply.,9150,42,42m 08s
29/05/2026 09:20,chris.watts,9196,Snipe Hunt,9196,9,"Be prepared for people to be unavailble, know who can lead when others are tied up. lean on the team who know what their role is and can help.",I wasnt expecting people to be unavailable. Had to call in people from engagements and depustize. I also had to be a change authority.,9196,29,29m 57s
03/06/2026 13:35,swetha.nayudu,9317,Snipe Hunt,9317,10,"Honestly, there’s a lot to learn. This is opening up an area for me—reviewing logs and identifying errors—which has been quite challenging, as it’s not something I typically do in my day-to-day role. That said, it’s an area I’m looking forward to developing further and doing more regularly.","This drill is quite different for me, as it requires the Incident Management function to actively review logs and changes. It also presents a challenge in ensuring the right colleagues are engaged and brought into the incident effectively.",9317,20,20m 40s
08/06/2026 11:20,vaishnavi.b,9380,Snipe Hunt,9380,10,Engage people and think in broader view not specific to default things like recent deployments,DNS and network looks good but still issue couldn't resolve,9380,,
10/06/2026 13:19,swetha.nayudu,9409,Version confusion,9409,8,Escalating quicker for help,External factors of Browser versions,9409,18,18m 02s
11/06/2026 07:17,praveen.sadul,9418,Snipe Hunt,9418,9,I need to focus on logs and try mitigate issue with platform team.,I was surprises tanya was busy and hamed out off office,9418,,
11/06/2026 09:07,latif.khan,9421,Snipe Hunt,9421,9,Do not take no for answer,Challenging drill as nothing in change request to able isolate issue,9421,35,35m 50s
