index,datetime,player,channel,Time,message,Notes
37,19/12/2025 15:50,Shay,online-boutique-7216,10,I'm getting a lot of alerts from Checkout Service,
39,19/12/2025 15:50,player2,online-boutique-7216,10,Tanya can you look in at the last 15 to 30 mins,
40,19/12/2025 15:50,Tanya,online-boutique-7216,10,Checking infra...,
41,19/12/2025 15:50,Tanya,online-boutique-7216,10,All four checkout servers are maxed out - CPU memory and disk I/O all spiking. No changes or deployments were done from platform side,
42,19/12/2025 15:50,Tanya,online-boutique-7216,10,ServerMetrics,
43,19/12/2025 15:51,Tanya,online-boutique-7216,11,It doesn't looks like a load issue either. CPU and Memory spike is not matching with incoming traffic,
44,19/12/2025 15:51,Tanya,online-boutique-7216,11,I'm seeing a running process called init_locker.sh eating up most of the CPU on the checkout server. That's not something we usually run. Something's suspicious here,
45,19/12/2025 15:51,Tanya,online-boutique-7216,11,ProcessRunning,
46,19/12/2025 15:51,Shay,online-boutique-7216,11,Is it due to any deployments today ?,
47,19/12/2025 15:51,Shay,online-boutique-7216,11,Here is the list of latest deployments : <https://uptime-labs.atlassian.net/wiki/external/YzYwYTAxNWQzOTI0NDYzOWI1MjkxNTI2YmVmMjUyZDE>,
48,19/12/2025 15:52,player2,online-boutique-7216,12,Maya we seem to have a suspicious application running is this something your team can take a look at?,
50,19/12/2025 15:52,Maya,online-boutique-7216,12,Let me check if there's anything suspicious,
51,19/12/2025 15:52,Bez,business-comms-7216,12,"Got an email claiming responsibility by ""BlackCrow Group"" and demanding payment of $5M in crypto. Honestly I get these hoax emails all the time so I'm not buying it",
52,19/12/2025 15:52,Maya,online-boutique-7216,12,Weird!! Security agent known as EDR(Endpoint Detection and Response) is missing from all 4 checkout servers. That's? concerning,
53,19/12/2025 15:52,Maya,online-boutique-7216,12,```EDR is basically our endpoint defense tool it tracks unusual activity at the servers```,
54,19/12/2025 15:52,Maya,online-boutique-7216,12,AlsoI found an init_locker.sh script encrypting DB app and log files which is renaming the filename like below,
55,19/12/2025 15:52,Maya,online-boutique-7216,12,```\norder_log_2025-06-01.locked\nsession_state.tmp.locked```,
56,19/12/2025 15:52,Daniel,online-boutique-7216,12,this explains why there were errors in checkout logs saying write failed  read-only filesystem,
57,19/12/2025 15:53,Tanya,online-boutique-7216,13,Wait... there's a file here named HELP_ME_DECRYPT.txt. I opened it appears a ransom note. This doesn't look good,
58,19/12/2025 15:53,Tanya,online-boutique-7216,13,help_me_decrypt,
59,19/12/2025 15:53,Maya,online-boutique-7216,13,Confirmed. This is a ransomware breach. @player2 inform business about this,
60,19/12/2025 15:53,Tanya,online-boutique-7216,13,Shall i try killing this script ?,
61,19/12/2025 15:53,Bob,online-boutique-7216,13,Guys!!! User complaints are sky rocketing its turning catastrophic!,
62,19/12/2025 15:53,Shay,online-boutique-7216,13,We must get this script killed asap might help in stabilising the systems instantly,
63,19/12/2025 15:53,player2,online-boutique-7216,13,Tanya please stop the script,
64,19/12/2025 15:53,player2,business-comms-7216,13,We currently have a malware breach,
65,19/12/2025 15:54,Tanya,online-boutique-7216,14,Ok  killing the script now...,
66,19/12/2025 15:54,Tanya,online-boutique-7216,14,"Tried killing the script all checkout servers just rebooted with a ransom banner. New ransom note say: ""Interruption detected. Price doubled. Pay $10M in Bitcoin",
67,19/12/2025 15:54,Bez,business-comms-7216,14,Just got another ransom email says we tried to interfere and now the price doubled. Was something stupid done on our side?,
68,19/12/2025 15:55,player2,online-boutique-7216,15,Maya what should be our next steps?,
69,19/12/2025 15:55,Tanya,online-boutique-7216,15,What shall i do now ? I tried killing it,
70,19/12/2025 15:55,Maya,online-boutique-7216,15,Killing the script could make things worse higher ransom or losing data forever,
71,19/12/2025 15:55,Bez,business-comms-7216,15,This is nightmare! @player2 where are we right now?,
72,19/12/2025 15:55,Maya,online-boutique-7216,15,@player2 before we do anything I'd request everyone to please change their passwords,
73,19/12/2025 15:55,Maya,online-boutique-7216,15,Also I'm removing everyone's access to servers - only I'll have control for now. Later we will reassess to do any activity further,
74,19/12/2025 15:55,Daniel,online-boutique-7216,15,Done on my end,
75,19/12/2025 15:56,Hamed,online-boutique-7216,16,Updated. @Maya smart move by limiting server's access,
76,19/12/2025 15:56,Shay,online-boutique-7216,16,Password updated,
77,19/12/2025 15:56,Bob,online-boutique-7216,16,Changed mine too. Better safe than sorry,
78,19/12/2025 15:56,Tanya,online-boutique-7216,16,All set,
79,19/12/2025 15:56,Tanya,online-boutique-7216,16,It's much worse now. Every file I check is encrypted nothing can be opened or recovered.,
80,19/12/2025 15:56,Shay,online-boutique-7216,16,I'm seeing new errors on frontend now. How's it for you @player2 ?,
81,19/12/2025 15:56,Maya,online-boutique-7216,16,Attention! when it comes to potential security breaches it's important we don't discuss sensitive details here,
82,19/12/2025 15:56,Maya,online-boutique-7216,16,I'm setting up private channel...,
83,19/12/2025 15:56,Maya,online-boutique-7216,16,@player2 before we move to private channel can you check with business what's the plan - are we paying the ransom or moving with response?,
84,19/12/2025 15:56,player2,business-comms-7216,16,Currently the security has advised that every change their passwords and the security team is working on removing the malware,
86,19/12/2025 15:57,Bez,business-comms-7216,17,Ok will do so,
87,19/12/2025 15:57,Tinus,business-comms-7216,17,Do we know what's scope of the malware's spread ?,
88,19/12/2025 15:58,Maya,online-boutique-7216,18,I'm creating the channel right now. Have we heard anything from the business execs on ransom payment ? @player2,
89,19/12/2025 15:58,player2,business-comms-7216,18,Question from the security team are we paying the ransom or moving with response what is the policy?,
90,19/12/2025 15:58,Bez,business-comms-7216,18,Not in favor of paying. Ethically it sets the wrong example and there's no real guarantee we'll get anything back,
91,19/12/2025 15:58,Tinus,business-comms-7216,18,Agree. Also just to be clear - we don't need to alert the ICO(Information Commissioner's Office) right this second. We've got up to 72 hours but that depends on how serious this really is,
92,19/12/2025 15:59,player2,online-boutique-7216,19,Maya just asked should have an update any moment,
93,19/12/2025 15:59,Maya,private-comms-7216,19,@player2 let's build the core response team here. I've already added myself. Who else should we pull in to keep it tight and efficient?,
94,19/12/2025 15:59,Maya,private-comms-7216,19,I'd say one senior person each from security platform and engineering. Also add Tanya tasks could be platform intensive,
95,19/12/2025 15:59,Bez,business-comms-7216,19,@Tinus do you think this is something we should loop in any cyber security agency for?,
96,19/12/2025 15:59,Tinus,business-comms-7216,19,If it looks like a complete lock-out I'd say yes,
97,19/12/2025 15:59,Tinus,business-comms-7216,19,We've got Cyvantics Security on retainer - just in case this gets out of hand. @player2 ask Maya to reach out if needed,
98,19/12/2025 15:59,player2,private-comms-7216,19,Tanya Hamed S Daniel,
99,19/12/2025 16:00,Tanya,private-comms-7216,20,I'm in,
100,19/12/2025 16:00,Hamed,private-comms-7216,20,Jumped here,
101,19/12/2025 16:00,Daniel,private-comms-7216,20,Lets crack on @player2,
102,19/12/2025 16:01,player2,private-comms-7216,21,Here are the thoughts from the business tema,
103,19/12/2025 16:01,player2,private-comms-7216,21,Maya what are our next steps?,
104,19/12/2025 16:01,Maya,private-comms-7216,21,Yes we've got an IR(incident response) retainer with Cyvantics Security,
105,19/12/2025 16:01,Bez,business-comms-7216,21,@player2 I need a clear answer from the team. What exactly is affected right now?,
106,19/12/2025 16:01,Maya,private-comms-7216,21,Looped in Cyvantics Security - they're on their way now to take snapshots of the infected server and storage followed by forensics on it,
107,19/12/2025 16:01,Tinus,business-comms-7216,21,You're right. We need clear facts - which systems are locked which are safe,
108,19/12/2025 16:02,Maya,private-comms-7216,22,Meanwhile I've got this from Cyvantics. @player2 can you help track the steps and coordinate?,
109,19/12/2025 16:02,Maya,private-comms-7216,22,<https://uptime-labs.atlassian.net/wiki/external/MThjMTk4ZDU5ODU0NGZmMWE1NzhmNGY0MDQwNWI1NTA>,
110,19/12/2025 16:02,Maya,private-comms-7216,22,We've got isolation steps in the playbook but before we dive in can you paste that list here? I'll help team run through it,
111,19/12/2025 16:03,Tinus,private-comms-7216,23,@player2 i'm with Bez. Counting on you with the team,
112,19/12/2025 16:03,player2,private-comms-7216,23,Maya which step are we currently on I know you have disconnected everyone from the servers.,
113,19/12/2025 16:03,Maya,private-comms-7216,23,I've given write access to Tanya Hamed Daniel and myself,
114,19/12/2025 16:03,Bob,online-boutique-7216,23,@player2 user complaints are spiking. They're reporting the site is down earlier it wasn't the case. What should I tell them now?,
115,19/12/2025 16:03,Tanya,private-comms-7216,23,Disconnecting the checkout servers from the infra now,
116,19/12/2025 16:03,Daniel,private-comms-7216,23,I'm on it. Disconnecting DB access for checkout and checking if scheduled backups exist,
117,19/12/2025 16:03,Hamed,private-comms-7216,23,I'll verify if any shared storage is still attached to the checkout DB,
118,19/12/2025 16:04,Daniel,private-comms-7216,24,Step 3 done DB connection to checkout is now cut,
119,19/12/2025 16:04,Tanya,private-comms-7216,24,Step 1 done Checkout servers are now fully disconnected. Moving to isolate the infra from all external traffic,
120,19/12/2025 16:04,Hamed,private-comms-7216,24,Step 4 confirmed No shared storage attached to checkout which makes sense since checkout has its standalone storage,
121,19/12/2025 16:04,Tanya,private-comms-7216,24,Step 2 completed Infra is now fully cut off from the outside world. That means the website will remain completely down until we recover,
122,19/12/2025 16:04,player2,online-boutique-7216,24,Bob is there a way to put up a maintence page?,
123,19/12/2025 16:04,Maya,private-comms-7216,24,Step 5 done Cyvantics has completed taking snapshots of the checkout servers and database. They've now moved on to forensics. @Hamed we're good to kill the script now,
124,19/12/2025 16:04,Bez,business-comms-7216,24,Do we have any backup storage? Maybe we can try restoring from that,
125,19/12/2025 16:04,Hamed,private-comms-7216,24,Step 6 done The Script has been killed. @player2 let us know and double-check if anything else is pending on our side,
126,19/12/2025 16:05,Bez,business-comms-7216,25,@player2 I need to know the blast radius of malware in our infrastructure,
127,19/12/2025 16:06,player2,business-comms-7216,26,we are running the isolation steps\nwe are running the playbook to get things up asap\nwe have a full downtime - as we have holding page up atm - hard down,
128,19/12/2025 16:06,player2,private-comms-7216,26,Please validate all backups,
129,19/12/2025 16:07,player2,private-comms-7216,27,only use backups from before the attack,
130,19/12/2025 16:07,Maya,private-comms-7216,27,Isolation has been done,
131,19/12/2025 16:07,Hamed,private-comms-7216,27,For the restoration we do have backup which only runs at 2AM. Latest is yesterday's. Unfortunately we'll lose today's orders,
132,19/12/2025 16:07,Maya,private-comms-7216,27,I've got Bob in the discussion so he can confirm the approximate loss in order value,
133,19/12/2025 16:07,Bob,online-boutique-7216,27,Sure i'll keep them informed,
134,19/12/2025 16:07,player2,business-comms-7216,27,isolation steps are complete and you moving to restoration steps,
135,19/12/2025 16:07,Bob,private-comms-7216,27,With the sale starting today the potential loss is significant approx. around $180k,
136,19/12/2025 16:08,Maya,private-comms-7216,28,@player2 could you please confirm this order loss with business before moving forward on this,
137,19/12/2025 16:08,player2,business-comms-7216,28,180k business loss when we restore the backups - can you confirm this is good and we can proceed,
138,19/12/2025 16:08,player2,business-comms-7216,28,Bez Tinus,
139,19/12/2025 16:09,Maya,private-comms-7216,29,Are we good to move with the loss of $180k worth of orders ?,
140,19/12/2025 16:09,Bez,business-comms-7216,29,Losing this much worth of data isn't good. However we do have insurance let me check,
141,19/12/2025 16:09,player2,private-comms-7216,29,Maya checking.,
142,19/12/2025 16:09,Bez,business-comms-7216,29,We're insured for up to $1M for such losses. Once we're back up we'll take it forward with the insurer,
143,19/12/2025 16:09,Tinus,business-comms-7216,29,In that case we can proceed with the restoration from backup - it's our best option right now,
144,19/12/2025 16:09,Bez,business-comms-7216,29,Agreed. @player2 let's move forward,
145,19/12/2025 16:09,Bob,online-boutique-7216,29,We have an automatic reply set up for them when they raise a complaint or report to us.,
146,19/12/2025 16:09,Bez,business-comms-7216,29,Update me as soon as it'll be recovered. Board members are getting impatient,
147,19/12/2025 16:09,player2,private-comms-7216,29,We have cyber insurance so you are clear to go,
148,19/12/2025 16:10,player2,business-comms-7216,30,ok restoration underway,
149,19/12/2025 16:10,Maya,private-comms-7216,30,Thanks for the go-ahead. @player2 please track all restoration steps,
150,19/12/2025 16:10,Maya,private-comms-7216,30,I'm now validating the backup storage to ensure it's safe,
151,19/12/2025 16:10,Hamed,private-comms-7216,30,I'm provisioning new checkout servers will update once ready,
152,19/12/2025 16:10,Maya,private-comms-7216,30,Backup is clean and safe. @Hamed you can start rebuilding checkout from backup storage,
153,19/12/2025 16:10,Hamed,private-comms-7216,30,Thanks Maya. New servers are ready. I'll start rebuilding now using backup storage,
154,19/12/2025 16:10,Hamed,private-comms-7216,30,Rebuild completed,
155,19/12/2025 16:10,Bez,business-comms-7216,30,Keep us posted,
156,19/12/2025 16:10,Maya,private-comms-7216,30,I've enabled the security agents (EDR) on checkout servers,
157,19/12/2025 16:10,Daniel,private-comms-7216,30,I'll monitor application health once services are restored,
158,19/12/2025 16:10,Maya,private-comms-7216,30,@player2  can you confirm all tasks are wrapped up and we are good to bring the traffic back? Just want to be sure as this is the final restoration step before we move,
159,19/12/2025 16:11,player2,private-comms-7216,31,Maya did we wipe the infected systems?,
161,19/12/2025 16:11,Hamed,private-comms-7216,31,"Sorry missed mentioning here. I've ""wiped off infected systems",
162,19/12/2025 16:12,player2,private-comms-7216,32,Then yes we are good Maya,
163,19/12/2025 16:12,Tanya,private-comms-7216,32,Thanks for the go ahead. Bringing up network traffic in progress...,
164,19/12/2025 16:12,Tanya,private-comms-7216,32,Restoration completed,
165,19/12/2025 16:12,Bez,business-comms-7216,32,Whats the ETA for the fix ?,
166,19/12/2025 16:12,player2,business-comms-7216,32,we are working restoration should be completed shortly,
168,19/12/2025 16:12,Bob,private-comms-7216,32,Wait!! getting a bunch of new complaints now. Users are neither able to see their return requests nor able to place new returns on the site,
169,19/12/2025 16:13,Maya,private-comms-7216,33,Yeah that's probably the missing today's checkout data. Anyone who ordered or returned something during that time won't see it - makes sense since we restored from the yesterday's backup,
170,19/12/2025 16:13,Tanya,private-comms-7216,33,Tough but expected :),
171,19/12/2025 16:13,Bob,private-comms-7216,33,What should I tell them? They are asking for refunds,
172,19/12/2025 16:13,player2,business-comms-7216,33,we should be back up and running now,
173,19/12/2025 16:14,player2,business-comms-7216,34,getting complains from our customers and users are requesting refunds for orders that have been lost,
174,19/12/2025 16:14,player2,business-comms-7216,34,what do we tell customer success? Bez,
175,19/12/2025 16:14,Bez,business-comms-7216,34,Keeping it high-level just say website restored but there's an issue with few orders. We'll refund them and customers will get a $10 gift voucher as an apology,
176,19/12/2025 16:14,Maya,private-comms-7216,34,@player2 I've received the forensics report from Cyvantics Security,
177,19/12/2025 16:14,Maya,private-comms-7216,34,forensics,
179,19/12/2025 16:15,Maya,private-comms-7216,35,Also I just finished combing through Shay's mailbox. There's something important here I found two emails from what looks like our monitoring vendor - ClearTech,
180,19/12/2025 16:15,Maya,private-comms-7216,35,phished_email,
181,19/12/2025 16:15,Maya,private-comms-7216,35,We will take this forward in PIR  for now website is restored,
182,19/12/2025 16:15,Maya,private-comms-7216,35,Alright since everything's back up and stable we can now move back to the main #online-boutique channel. No further actions left here,
183,19/12/2025 16:15,player2,business-comms-7216,35,website is now restored,
184,19/12/2025 16:15,Maya,online-boutique-7216,35,Do we go ahead and mark this incident as closed?,
185,19/12/2025 16:15,player2,online-boutique-7216,35,Website has been restored,
186,19/12/2025 16:15,Bob,private-comms-7216,35,Customers are asking for what happened to website. Shall i disclose them about the security issue ?,
187,19/12/2025 16:16,player2,online-boutique-7216,36,this incident is now closed and moved to RCA,
188,19/12/2025 16:16,Bob,online-boutique-7216,36,Customers are asking what happened to the website. Shall I disclose them about the security issue?,
189,19/12/2025 16:16,player2,private-comms-7216,36,no,
190,19/12/2025 16:16,player2,private-comms-7216,36,an official RCA will be shared at a later date,
191,19/12/2025 16:17,player2,online-boutique-7216,37,no,
192,19/12/2025 16:17,Bob,online-boutique-7216,37,Ok thanks,
193,19/12/2025 16:17,Bez,business-comms-7216,37,Since services are restored I'm heading to speak with compliance and the regulators. Thankfully no data was leaked that helps,
194,19/12/2025 16:17,Tanya,online-boutique-7216,37,That was intense. We've never been this close to total loss before. We got lucky,
195,19/12/2025 16:17,Tinus,business-comms-7216,37,I'm on my way to ICO (Information Commissioner's Office - UK) office now. I'll get the formal report rolling - that's required for the insurance claim. Keep monitoring in the meantime,
196,19/12/2025 16:17,Daniel,online-boutique-7216,37,Systems are calm now but that feeling earlier... not something I want to go through again,
197,19/12/2025 16:17,Bob,online-boutique-7216,37,One small slip caused a major breach. We need better awareness to prevent this in future,
198,19/12/2025 16:17,Tinus,online-boutique-7216,37,This could've gone way worse. Appreciate how quickly and cleanly you handled it,
199,19/12/2025 16:17,Bez,online-boutique-7216,37,Not every day we survive an attack like this. You made the right calls fast. Great job @player2 - that's how we bounce back,
201,19/12/2025 16:17,player2,online-boutique-7216,37,Clicked Start_feedback button\n,
