index,datetime,player,channel,delta,,message,further notes
70,02/12/2025 10:18,Bez,business-comms-6984,6,,Assuming this is affecting everyone?,
71,02/12/2025 10:18,Shay,online-boutique-6984,6,,Looks like there's an issue with ad rotation logic,
72,02/12/2025 10:18,player1,online-boutique-6984,6,,issue started at 11:14,
73,02/12/2025 10:19,player1,business-comms-6984,7,,issue started at 11:14,
74,02/12/2025 10:19,Shay,online-boutique-6984,7,,I think i might be able to patch it within a few minutes,
75,02/12/2025 10:19,player1,online-boutique-6984,7,,i assume everyone is impacted since is down?,
76,02/12/2025 10:19,player1,business-comms-6984,7,,shay trying to bring services up,
77,02/12/2025 10:19,Daniel,online-boutique-6984,7,,Correct ad service is responsible for internal and external ads across all regions,
78,02/12/2025 10:20,player1,business-comms-6984,8,,Bez correct ad service is responsible for internal and external ads across all regions,
79,02/12/2025 10:20,player1,business-comms-6984,8,,so everyone is impacted,Scopes to ALL REGIONS
81,02/12/2025 10:21,Tinus,business-comms-6984,9,,Are there any other issues or just the ad service?,
82,02/12/2025 10:21,player1,business-comms-6984,9,CAN,Summary: Ad services is currently  down. ad service is responsible for internal and external ads across all regions\nImpact: Ads will not working for customers\nStart: 02/12 11:14\nNext steps: Shay is trying to bring service up 4,Use of CAN
84,02/12/2025 10:21,player1,online-boutique-6984,9,STAR-Send regular business comms,does users report any other issues? or just ad service?,investigating customer impact
85,02/12/2025 10:22,Shay,online-boutique-6984,10,,Looks like this might take a while,
86,02/12/2025 10:22,player1,online-boutique-6984,10,,okay shay could you tell us are you reverting your recent changes or something else?,Clarifying shay's action
87,02/12/2025 10:22,Bob,online-boutique-6984,10,,2% of users have reported that they can't access the site,
88,02/12/2025 10:22,Bob,online-boutique-6984,10,,The reports are coming freom Germany,
89,02/12/2025 10:23,Shay,online-boutique-6984,11,,I'm trying to hotfix the change,
91,02/12/2025 10:23,player1,online-boutique-6984,11,,i see checkout errors as well but intermittently,new signal
93,02/12/2025 10:23,player1,online-boutique-6984,11,,and frontend,new signal
94,02/12/2025 10:24,Daniel,online-boutique-6984,12,,I will check both of them,
95,02/12/2025 10:24,player1,business-comms-6984,12,,2% of players can not access the site  all coming from Germany,Acknowledges Bob's German locale issue
96,02/12/2025 10:24,player1,business-comms-6984,12,,we are checking that as well,
97,02/12/2025 10:24,player1,online-boutique-6984,12,,ty,
98,02/12/2025 10:24,Daniel,online-boutique-6984,12,,Checkout and Frontend are looking solid. This doesn't look like an application issue,
99,02/12/2025 10:25,player1,online-boutique-6984,13,,after we bring services up Shay and Daniel could you please investigate root cause,
100,02/12/2025 10:25,player1,online-boutique-6984,13,,Shay do you need any help?,
101,02/12/2025 10:25,Daniel,online-boutique-6984,13,,Shay it might be quicker to revert the change and work on the fix later,
102,02/12/2025 10:26,player1,online-boutique-6984,14,,if is possible reverting changes pls do  but lets first clarify which change,
103,02/12/2025 10:26,player1,online-boutique-6984,14,,CHG89356 this one?,Clarifying intent to shay
104,02/12/2025 10:26,Shay,online-boutique-6984,14,,Understood I will revert the change now. This is taking way longer,
105,02/12/2025 10:26,Daniel,online-boutique-6984,14,,Correct,
106,02/12/2025 10:26,player1,business-comms-6984,14,,Shay will revert recent change CHG89356,Shay reverting change
107,02/12/2025 10:26,player1,business-comms-6984,14,,in order to bring service up,
108,02/12/2025 10:27,Tinus,business-comms-6984,15,,Is anyone working on the second issue?,
109,02/12/2025 10:27,player1,online-boutique-6984,15,,ty okay lets revert this change first pls,
110,02/12/2025 10:27,Shay,online-boutique-6984,15,,Okay the ad-service has been rolled back,
111,02/12/2025 10:27,player1,business-comms-6984,15,,yes Daniel is checking,
112,02/12/2025 10:27,Tinus,online-boutique-6984,15,,Are we sure it's fixed?,
113,02/12/2025 10:28,Tinus,online-boutique-6984,16,,� what do you think?,
114,02/12/2025 10:28,player1,online-boutique-6984,16,,checking,
115,02/12/2025 10:28,player1,online-boutique-6984,16,,AD services is recovering,
116,02/12/2025 10:28,player1,online-boutique-6984,16,STAR-Use metrics as evidence,metrics are showing improvement,notices metric improving on ad service
118,02/12/2025 10:28,Daniel,online-boutique-6984,16,,Might be a good idea to get platform team to look at the other issue,
120,02/12/2025 10:28,player1,business-comms-6984,16,STAR-Send regular business comms,AD service is up,
121,02/12/2025 10:29,Shay,online-boutique-6984,17,,Great lets focus on the other issue,
123,02/12/2025 10:29,player1,business-comms-6984,17,,we are checking second issue now,
124,02/12/2025 10:29,Shay,online-boutique-6984,17,,I'm able to place an order. I don't see any issue with site,
125,02/12/2025 10:29,player1,online-boutique-6984,17,STAR-Confirm resolution with the business,okay ty Shay first issue fixed,
126,02/12/2025 10:29,Daniel,online-boutique-6984,17,,@tanya do you see anything?,
127,02/12/2025 10:29,player1,online-boutique-6984,17,,can we clarify what is second issues players in Germany can not accces site?,
128,02/12/2025 10:29,Tanya,online-boutique-6984,17,,let me check,
129,02/12/2025 10:30,Tanya,online-boutique-6984,18,,I’ve just run checks with our network bot deployed in Frankfurt. It confirms packet loss and connectivity issues are localized to that region only. Traffic outside Frankfurt is normal so this looks like a regional network outage with our vendor.,
130,02/12/2025 10:30,player1,online-boutique-6984,18,,from moment AD services is up i see checkout errors,
131,02/12/2025 10:30,player1,online-boutique-6984,18,,can someone contact vendor?,
132,02/12/2025 10:30,player1,online-boutique-6984,18,,and check pls,
134,02/12/2025 10:31,player1,business-comms-6984,19,,we found issue. t confirms packet loss and connectivity issues are localized to that region only. Traffic outside Frankfurt is normal so this looks like a regional network outage with our vendor.,listens to Tanya's german network signal
135,02/12/2025 10:31,Daniel,online-boutique-6984,19,,I can confirm that checkout is working fine; it must be a high number of logs,another signal due to log volume
136,02/12/2025 10:31,Tanya,online-boutique-6984,19,,I will get in touch with them,
137,02/12/2025 10:31,player1,online-boutique-6984,19,,ty Tanya,
138,02/12/2025 10:31,player1,business-comms-6984,19,Contact Vendor,tanya will contact vendor,
139,02/12/2025 10:32,Bez,business-comms-6984,20,,We have a silver package with them; they should be able to respond and help with whatever problem within minutes,
140,02/12/2025 10:32,player1,online-boutique-6984,20,,Shay what we can do with high number of logs can we expend size?,suggests fix for log volume 
141,02/12/2025 10:32,Tanya,online-boutique-6984,20,,I’ve just spoken with our network vendor for Frankfurt. They’ve acknowledged the issue on their side and have already started working on it. They’re confident it will be resolved shortly — I’ll keep monitoring and confirm once traffic stabilizes,
142,02/12/2025 10:32,player1,online-boutique-6984,20,,Bez comment: We have a silver package with them; they should be able to respond and help with whatever problem within minutes,
143,02/12/2025 10:32,Shay,online-boutique-6984,20,,I will work on it,
144,02/12/2025 10:32,player1,business-comms-6984,20,,Update from Vendor: I’ve just spoken with our network vendor for Frankfurt. They’ve acknowledged the issue on their side and have already started working on it. They’re confident it will be resolved shortly — I’ll keep monitoring and confirm once traffic stabilizes,regular comms with business
145,02/12/2025 10:33,Tanya,online-boutique-6984,21,,:thumbsup:,
146,02/12/2025 10:33,player1,online-boutique-6984,21,,thank you,
148,02/12/2025 10:33,player1,online-boutique-6984,21,,Tanya keep us updates pls,
150,02/12/2025 10:33,Tanya,online-boutique-6984,21,,Vendor has confirmed the Frankfurt network issue is resolved. I’ve re-checked with our network bot and traffic is flowing normally again. Customers in the region should now have full access restored,
151,02/12/2025 10:33,player1,business-comms-6984,21,Recovered,issue is resolved with vendor,
152,02/12/2025 10:33,player1,online-boutique-6984,21,,resolved,
153,02/12/2025 10:33,player1,business-comms-6984,21,,*Incident Number INC100048:* resolved,Resolved
155,02/12/2025 10:33,player1,online-boutique-6984,21,,thank you everyone,
156,02/12/2025 10:33,player1,online-boutique-6984,21,,Clicked Start_feedback button\n,
