datetime,player,channel,Diff,message
23/02/2026 13:24,PLAYER,business-comms-7796,21.63,"We had this issue 2 weeks ago, 0.09% customers were impacted. We are looking at the percentage of impact now"
23/02/2026 13:24,uptimelabs,online-boutique-7796,21.92,"Thank you for playing Version Confusion, We recommend that you take 5 minutes to go and get a drink or stretch your legs.
Once you are back we ask that you complete this retrospective and feedback form, just hit start when you are ready."
23/02/2026 13:24,bob,online-boutique-7796,21.95,"Ok this seems to have slipped past us, when i put out a message customers are saying they have been having issues for a while now (2 weeks) and didnt report it as they didnt know how to find the link because the sit was down for them"
23/02/2026 13:24,bob,online-boutique-7796,22.10,i am gathering data on how many are impacted now
23/02/2026 13:24,bob,online-boutique-7796,22.40,This looks to be a large amount of customers 5% in total
23/02/2026 13:25,PLAYER,online-boutique-7796,23.20,@daniel please look into your change and revert if needed. Looks like we have considerable impact
23/02/2026 13:25,uptimelabs,online-boutique-7796,23.25,:star: Restoration over root cause analysis
23/02/2026 13:25,daniel,online-boutique-7796,23.28,the recent changes would have no impact if the issue started 2 weeks ago
23/02/2026 13:25,PLAYER,business-comms-7796,23.50,"Bob Johnson

BOT

[6:54 PM](https://comms.prod.uptimelabs.io/dominos-co-uk/pl/yih9g86yg7fd9qobjefnmjswoe)

Ok this seems to have slipped past us, when i put out a message customers are saying they have been having issues for a while now (2 weeks) and didnt report it as they didnt know how to find the link because the sit was down for them

[6:54 PM](https://comms.prod.uptimelabs.io/dominos-co-uk/pl/dot4by7q93f8db4rif64hhndqo)

i am gathering data on how many are impacted now

[6:54 PM](https://comms.prod.uptimelabs.io/dominos-co-uk/pl/q57z9q7dkfg5znxarcqiiqrrdo)

This looks to be a large amount of customers 5% in total"
23/02/2026 13:26,uptimelabs,online-boutique-7796,23.75,"Thanks for playing! Please complete your feedback here:
https://learn.uptimelabs.io/scenario/online-boutique/levels/17/7796/feedback"
