datetime,player,channel,diff,message
19/02/2026 14:18,bez,business-comms-7774,15.53,Can you confirm it's a global issue?
19/02/2026 14:19,PLAYER,online-boutique-7774,16.27,Are there any deployments happened any Scripts that are ran before this?
19/02/2026 14:19,uptimelabs,online-boutique-7774,16.32,:star: Check changes done to the platform
19/02/2026 14:20,shay,online-boutique-7774,16.65,Not sure about scripts but there were some deployments today
19/02/2026 14:20,shay,online-boutique-7774,17.10,Here you go: https://uptime-labs.atlassian.net/wiki/spaces/ULPUBLIC/pages/1114341401/Version+Confusion+-+Change+Request+Logs
19/02/2026 14:20,PLAYER,online-boutique-7774,17.10,"HI Daniel and Shay, I need update with in 2 mins immediately to root cause of this?"
19/02/2026 14:20,daniel,online-boutique-7774,17.25,"Title 
Slow load times for users using V105.0 of chrome
Description

User have reported the frontend as loading slowly and with quick look at there set up appears to be an issue with frontend for users using V105.0 of chrome. 
Reporter
User
Components
OB-Frontend"
19/02/2026 14:20,daniel,online-boutique-7774,17.42,This is the ticket created
19/02/2026 14:21,daniel,online-boutique-7774,17.77,Also where do we even begin to investigate you're the IM
19/02/2026 14:21,tinus,online-boutique-7774,18.25,"Bez wants an update on the investigation, what do we know so far?"
19/02/2026 14:22,PLAYER,online-boutique-7774,19.12,"HI @tanya,Daniel  , I see CHG89553 , May I know the details on this?
"
19/02/2026 14:23,tanya,online-boutique-7774,19.78,I believe that's Daniels change
19/02/2026 14:23,PLAYER,online-boutique-7774,19.90,Can we roll back this CHG89553 ?
19/02/2026 14:23,daniel,online-boutique-7774,19.95,"Yes, i was just doing some clean-up of the code"
19/02/2026 14:23,uptimelabs,online-boutique-7774,20.00,:star: Restoration over root cause analysis
19/02/2026 14:23,daniel,online-boutique-7774,20.18,Do you think the issue is related to my change>
19/02/2026 14:23,daniel,online-boutique-7774,20.47,"I have no issue rolling it back, just wondering why you think it's the cause"
19/02/2026 14:24,PLAYER,online-boutique-7774,20.65,"Yes, it could be .. Please analyze and let me know what else can impact this?"
19/02/2026 14:24,daniel,online-boutique-7774,21.15,I'll begin the rollback first
19/02/2026 14:24,daniel,online-boutique-7774,21.60,Rollback has been completed
19/02/2026 14:25,PLAYER,online-boutique-7774,21.88,"HI @shay , Please check verify now after the roll back.."
19/02/2026 14:25,PLAYER,online-boutique-7774,22.22,"HI Daniel, please verify now and let me know.."
19/02/2026 14:25,shay,online-boutique-7774,22.22,Erm I wasn't having an issues accessing the site
19/02/2026 14:26,PLAYER,business-comms-7774,22.68,"Yes, it is . we are trying the find the root cause.."
19/02/2026 14:26,PLAYER,business-comms-7774,23.02,I will keep you posted in few mins..
19/02/2026 14:26,uptimelabs,online-boutique-7774,23.22,:bulb: Restoration over root cause analysis
19/02/2026 14:27,hamed,online-boutique-7774,23.75,"We need to focus on restoring the service to those impacted, what do we know so far?"
19/02/2026 14:27,PLAYER,online-boutique-7774,24.05,"HI Daniel/Tanya, Is the slowness issue resolved?"
19/02/2026 14:27,tanya,online-boutique-7774,24.45,I'm still having the slowness issue with intermittent timeouts
19/02/2026 14:27,PLAYER,online-boutique-7774,24.47,"HI Hamed, can you please help me if there is any other issue ?"
19/02/2026 14:28,daniel,online-boutique-7774,24.63,I never had any issues with the site
19/02/2026 14:28,tanya,online-boutique-7774,25.17,I would like to add I'm using chrome version 105.0
19/02/2026 14:28,PLAYER,online-boutique-7774,25.42,"HI Daniel, Slowness is observed as per Tanya. Request you to analyze the root cause.."
19/02/2026 14:29,uptimelabs,online-boutique-7774,25.80,"Thank you for playing Version Confusion, We recommend that you take 5 minutes to go and get a drink or stretch your legs.
Once you are back we ask that you complete this retrospective and feedback form, just hit start when you are ready."
19/02/2026 14:29,PLAYER,online-boutique-7774,26.17,"Tanya, Are you saying it is only related to browser?"
19/02/2026 14:30,uptimelabs,online-boutique-7774,26.78,Thank you for playing! The drill has been completed.
19/02/2026 14:31,uptimelabs,online-boutique-7774,28.32,"Thanks for playing! Please complete your feedback here:
https://learn.uptimelabs.io/scenario/online-boutique/levels/17/7774/feedback"
